"Order Number","Line Item","Order Date","Delivery Date",CustomerKey,StoreKey,ProductKey,Quantity,"Currency Code"
367005,2,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,319,2,EUR
367005,3,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1674,8,EUR
367005,4,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,2511,9,EUR
367005,5,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1720,2,EUR
367005,6,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1597,7,EUR
367005,7,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,784,1,EUR
367006,1,"2016-01-02 00:00:00","Not Available",693285,18,2445,3,EUR
367007,1,"2016-01-02 00:00:00","Not Available",1730985,57,65,7,USD
367007,2,"2016-01-02 00:00:00","Not Available",1730985,57,1432,9,USD
367008,1,"2016-01-02 00:00:00","Not Available",763246,28,1951,3,EUR
367009,1,"2016-01-02 00:00:00","Not Available",1512558,57,934,1,USD
367009,2,"2016-01-02 00:00:00","Not Available",1512558,57,930,8,USD
367009,3,"2016-01-02 00:00:00","Not Available",1512558,57,1436,5,USD
367009,4,"2016-01-02 00:00:00","Not Available",1512558,57,1547,3,USD
367009,5,"2016-01-02 00:00:00","Not Available",1512558,57,53,5,USD
367010,1,"2016-01-02 00:00:00","Not Available",1322959,66,917,1,USD
367010,2,"2016-01-02 00:00:00","Not Available",1322959,66,39,1,USD
367011,1,"2016-01-02 00:00:00","Not Available",507981,22,39,1,EUR
367012,1,"2016-01-02 00:00:00","Not Available",209990,9,1653,5,CAD
367012,2,"2016-01-02 00:00:00","Not Available",209990,9,145,3,CAD
367013,1,"2016-01-02 00:00:00","Not Available",815458,31,1733,2,EUR
367013,2,"2016-01-02 00:00:00","Not Available",815458,31,41,6,EUR
367014,1,"2016-01-02 00:00:00","Not Available",1839627,56,1184,3,USD
367015,1,"2016-01-02 00:00:00","Not Available",911025,42,2296,7,GBP
367016,1,"2016-01-02 00:00:00","Not Available",1633409,63,1487,1,USD
367016,2,"2016-01-02 00:00:00","Not Available",1633409,63,558,7,USD
367016,3,"2016-01-02 00:00:00","Not Available",1633409,63,206,3,USD
367017,1,"2016-01-02 00:00:00","Not Available",1612400,47,1203,4,USD
367018,1,"2016-01-02 00:00:00","Not Available",1301565,59,1245,2,USD
367018,2,"2016-01-02 00:00:00","Not Available",1301565,59,1973,4,USD
367018,3,"2016-01-02 00:00:00","Not Available",1301565,59,731,4,USD
367019,1,"2016-01-02 00:00:00","Not Available",793573,29,1947,2,EUR
367019,2,"2016-01-02 00:00:00","Not Available",793573,29,1645,7,EUR
367019,3,"2016-01-02 00:00:00","Not Available",793573,29,371,7,EUR
367020,1,"2016-01-02 00:00:00","Not Available",799366,29,448,6,EUR
367020,2,"2016-01-02 00:00:00","Not Available",799366,29,1975,1,EUR
367021,1,"2016-01-02 00:00:00","Not Available",243917,10,1445,4,CAD
367021,2,"2016-01-02 00:00:00","Not Available",243917,10,1624,6,CAD
367021,3,"2016-01-02 00:00:00","Not Available",243917,10,1615,2,CAD
367022,1,"2016-01-02 00:00:00","Not Available",942807,42,1596,1,GBP
367022,2,"2016-01-02 00:00:00","Not Available",942807,42,1253,7,GBP
367022,3,"2016-01-02 00:00:00","Not Available",942807,42,663,3,GBP
367022,4,"2016-01-02 00:00:00","Not Available",942807,42,1194,6,GBP
367023,1,"2016-01-02 00:00:00","Not Available",129318,2,1139,5,AUD
367023,2,"2016-01-02 00:00:00","Not Available",129318,2,1031,2,AUD
367024,1,"2016-01-02 00:00:00","Not Available",1713253,50,302,8,USD
367024,2,"2016-01-02 00:00:00","Not Available",1713253,50,2105,5,USD
367025,1,"2016-01-02 00:00:00","Not Available",1736623,56,1608,1,USD
367025,2,"2016-01-02 00:00:00","Not Available",1736623,56,1641,2,USD
367025,3,"2016-01-02 00:00:00","Not Available",1736623,56,1574,3,USD
367026,1,"2016-01-02 00:00:00","Not Available",1836599,53,2218,2,USD
367026,2,"2016-01-02 00:00:00","Not Available",1836599,53,78,1,USD
367027,1,"2016-01-02 00:00:00","Not Available",1482586,53,2451,3,USD
367027,2,"2016-01-02 00:00:00","Not Available",1482586,53,1645,1,USD
367027,3,"2016-01-02 00:00:00","Not Available",1482586,53,1728,2,USD
367028,1,"2016-01-02 00:00:00","2016-01-11 00:00:00",607356,0,976,1,EUR
367028,2,"2016-01-02 00:00:00","2016-01-11 00:00:00",607356,0,2017,3,EUR
367029,1,"2016-01-02 00:00:00","Not Available",1260533,66,1607,1,USD
367029,2,"2016-01-02 00:00:00","Not Available",1260533,66,1223,7,USD
367030,1,"2016-01-02 00:00:00","Not Available",1843882,51,2010,7,USD
367030,2,"2016-01-02 00:00:00","Not Available",1843882,51,426,1,USD
367031,1,"2016-01-02 00:00:00","2016-01-07 00:00:00",909014,0,120,3,GBP
367031,2,"2016-01-02 00:00:00","2016-01-07 00:00:00",909014,0,382,2,GBP
367031,3,"2016-01-02 00:00:00","2016-01-07 00:00:00",909014,0,1722,3,GBP
367031,4,"2016-01-02 00:00:00","2016-01-07 00:00:00",909014,0,132,1,GBP
368000,1,"2016-01-03 00:00:00","Not Available",892838,32,1440,1,EUR
368001,1,"2016-01-03 00:00:00","Not Available",1670789,64,1598,3,USD
369000,1,"2016-01-04 00:00:00","Not Available",1143828,37,2167,9,GBP
369000,2,"2016-01-04 00:00:00","Not Available",1143828,37,167,1,GBP
369001,1,"2016-01-04 00:00:00","Not Available",269337,8,1301,1,CAD
369001,2,"2016-01-04 00:00:00","Not Available",269337,8,1649,4,CAD
369002,1,"2016-01-04 00:00:00","Not Available",258316,8,1656,1,CAD
369004,1,"2016-01-04 00:00:00","Not Available",1389462,65,1961,5,USD
369004,2,"2016-01-04 00:00:00","Not Available",1389462,65,1991,3,USD
369005,1,"2016-01-04 00:00:00","Not Available",1866637,56,183,3,USD
369006,1,"2016-01-04 00:00:00","Not Available",734605,28,654,1,EUR
369007,1,"2016-01-04 00:00:00","Not Available",571622,20,2510,3,EUR
369007,2,"2016-01-04 00:00:00","Not Available",571622,20,2103,1,EUR
369007,3,"2016-01-04 00:00:00","Not Available",571622,20,1578,3,EUR
369011,1,"2016-01-04 00:00:00","2016-01-09 00:00:00",1664824,0,1261,2,USD
369012,1,"2016-01-04 00:00:00","2016-01-13 00:00:00",1696695,0,1423,3,USD
369012,2,"2016-01-04 00:00:00","2016-01-13 00:00:00",1696695,0,1656,1,USD
369012,3,"2016-01-04 00:00:00","2016-01-13 00:00:00",1696695,0,1660,2,USD
369012,4,"2016-01-04 00:00:00","2016-01-13 00:00:00",1696695,0,1610,6,USD
370000,1,"2016-01-05 00:00:00","Not Available",2032025,51,1360,4,USD
370000,2,"2016-01-05 00:00:00","Not Available",2032025,51,1158,4,USD
370000,3,"2016-01-05 00:00:00","Not Available",2032025,51,457,2,USD
370001,1,"2016-01-05 00:00:00","Not Available",1884908,61,1107,3,USD
370001,2,"2016-01-05 00:00:00","Not Available",1884908,61,1591,3,USD
370001,3,"2016-01-05 00:00:00","Not Available",1884908,61,1544,7,USD
370003,1,"2016-01-05 00:00:00","Not Available",2092033,66,836,8,USD
370003,2,"2016-01-05 00:00:00","Not Available",2092033,66,1529,3,USD
370004,1,"2016-01-05 00:00:00","Not Available",1473090,43,1251,2,USD
370005,1,"2016-01-05 00:00:00","Not Available",584095,24,1610,2,EUR
370005,2,"2016-01-05 00:00:00","Not Available",584095,24,1594,4,EUR
370006,1,"2016-01-05 00:00:00","Not Available",661636,16,1272,6,EUR
370007,1,"2016-01-05 00:00:00","Not Available",623659,15,267,1,EUR
370007,2,"2016-01-05 00:00:00","Not Available",623659,15,126,7,EUR
370008,1,"2016-01-05 00:00:00","Not Available",183264,4,2105,1,AUD
370010,1,"2016-01-05 00:00:00","Not Available",1393738,48,1709,3,USD
370010,2,"2016-01-05 00:00:00","Not Available",1393738,48,2113,10,USD
370010,3,"2016-01-05 00:00:00","Not Available",1393738,48,2088,2,USD
370011,1,"2016-01-05 00:00:00","Not Available",1522590,47,32,2,USD
370012,1,"2016-01-05 00:00:00","Not Available",1780669,53,1585,3,USD
370012,2,"2016-01-05 00:00:00","Not Available",1780669,53,1689,2,USD
370013,1,"2016-01-05 00:00:00","Not Available",5097,6,5,2,AUD
370014,1,"2016-01-05 00:00:00","Not Available",1475886,51,1622,2,USD
370014,2,"2016-01-05 00:00:00","Not Available",1475886,51,2110,1,USD
370014,3,"2016-01-05 00:00:00","Not Available",1475886,51,1694,2,USD
371000,1,"2016-01-06 00:00:00","Not Available",728834,30,81,2,EUR
371001,1,"2016-01-06 00:00:00","Not Available",76021,2,77,3,AUD
371001,2,"2016-01-06 00:00:00","Not Available",76021,2,945,2,AUD
371001,3,"2016-01-06 00:00:00","Not Available",76021,2,1033,1,AUD
371001,4,"2016-01-06 00:00:00","Not Available",76021,2,1581,5,AUD
371002,1,"2016-01-06 00:00:00","Not Available",1955971,53,80,4,USD
371002,2,"2016-01-06 00:00:00","Not Available",1955971,53,2171,3,USD
371003,1,"2016-01-06 00:00:00","Not Available",778259,28,1074,6,EUR
371003,2,"2016-01-06 00:00:00","Not Available",778259,28,127,2,EUR
371003,3,"2016-01-06 00:00:00","Not Available",778259,28,333,5,EUR
371003,4,"2016-01-06 00:00:00","Not Available",778259,28,1627,4,EUR
371003,5,"2016-01-06 00:00:00","Not Available",778259,28,64,1,EUR
371003,6,"2016-01-06 00:00:00","Not Available",778259,28,1997,3,EUR
371004,1,"2016-01-06 00:00:00","2016-01-14 00:00:00",1378439,0,1305,8,USD
371005,1,"2016-01-06 00:00:00","Not Available",1923558,48,58,1,USD
371005,2,"2016-01-06 00:00:00","Not Available",1923558,48,32,7,USD
371006,1,"2016-01-06 00:00:00","2016-01-15 00:00:00",1501383,0,1279,1,USD
371007,1,"2016-01-06 00:00:00","2016-01-18 00:00:00",1378439,0,1639,1,USD
371008,1,"2016-01-06 00:00:00","Not Available",2053617,50,961,1,USD
371008,2,"2016-01-06 00:00:00","Not Available",2053617,50,1626,7,USD
371010,1,"2016-01-06 00:00:00","Not Available",1716584,53,2491,5,USD
371010,2,"2016-01-06 00:00:00","Not Available",1716584,53,1631,7,USD
371011,1,"2016-01-06 00:00:00","2016-01-14 00:00:00",776266,0,458,5,EUR
371011,2,"2016-01-06 00:00:00","2016-01-14 00:00:00",776266,0,1573,3,EUR
371011,3,"2016-01-06 00:00:00","2016-01-14 00:00:00",776266,0,32,5,EUR
371012,1,"2016-01-06 00:00:00","Not Available",363872,8,147,1,CAD
371012,2,"2016-01-06 00:00:00","Not Available",363872,8,1576,1,CAD
371012,3,"2016-01-06 00:00:00","Not Available",363872,8,1642,3,CAD
371014,1,"2016-01-06 00:00:00","Not Available",1161615,40,89,4,GBP
371014,2,"2016-01-06 00:00:00","Not Available",1161615,40,337,3,GBP
371015,1,"2016-01-06 00:00:00","2016-01-14 00:00:00",1669745,0,1679,5,USD
371015,2,"2016-01-06 00:00:00","2016-01-14 00:00:00",1669745,0,1659,1,USD
371015,3,"2016-01-06 00:00:00","2016-01-14 00:00:00",1669745,0,1228,1,USD
371015,4,"2016-01-06 00:00:00","2016-01-14 00:00:00",1669745,0,1458,4,USD
371016,1,"2016-01-06 00:00:00","Not Available",879778,32,1704,2,EUR
371017,1,"2016-01-06 00:00:00","Not Available",1918687,61,2084,5,USD
371017,2,"2016-01-06 00:00:00","Not Available",1918687,61,2365,1,USD
371018,1,"2016-01-06 00:00:00","Not Available",1041466,36,534,1,GBP
371018,2,"2016-01-06 00:00:00","Not Available",1041466,36,1667,7,GBP
371018,3,"2016-01-06 00:00:00","Not Available",1041466,36,1212,7,GBP
371018,4,"2016-01-06 00:00:00","Not Available",1041466,36,2496,1,GBP
371018,5,"2016-01-06 00:00:00","Not Available",1041466,36,1200,2,GBP
371018,6,"2016-01-06 00:00:00","Not Available",1041466,36,1333,2,GBP
371018,7,"2016-01-06 00:00:00","Not Available",1041466,36,2124,1,GBP
371019,1,"2016-01-06 00:00:00","Not Available",916074,41,2506,2,GBP
371019,2,"2016-01-06 00:00:00","Not Available",916074,41,1590,1,GBP
371019,3,"2016-01-06 00:00:00","Not Available",916074,41,1615,2,GBP
371019,4,"2016-01-06 00:00:00","Not Available",916074,41,2093,2,GBP
372000,1,"2016-01-07 00:00:00","2016-01-22 00:00:00",1413890,0,148,3,USD
372000,2,"2016-01-07 00:00:00","2016-01-22 00:00:00",1413890,0,1620,1,USD
372000,3,"2016-01-07 00:00:00","2016-01-22 00:00:00",1413890,0,825,3,USD
372001,1,"2016-01-07 00:00:00","Not Available",1412534,63,1286,1,USD
372001,2,"2016-01-07 00:00:00","Not Available",1412534,63,1669,3,USD
372002,1,"2016-01-07 00:00:00","Not Available",1718240,47,1299,7,USD
372003,1,"2016-01-07 00:00:00","Not Available",527409,19,1604,3,EUR
372003,2,"2016-01-07 00:00:00","Not Available",527409,19,141,4,EUR
372003,3,"2016-01-07 00:00:00","Not Available",527409,19,83,2,EUR
372004,1,"2016-01-07 00:00:00","Not Available",711449,30,922,9,EUR
372005,1,"2016-01-07 00:00:00","Not Available",302130,9,411,3,CAD
372005,2,"2016-01-07 00:00:00","Not Available",302130,9,75,4,CAD
372005,3,"2016-01-07 00:00:00","Not Available",302130,9,1620,3,CAD
372005,4,"2016-01-07 00:00:00","Not Available",302130,9,2366,5,CAD
372005,5,"2016-01-07 00:00:00","Not Available",302130,9,1652,8,CAD
372005,6,"2016-01-07 00:00:00","Not Available",302130,9,1614,8,CAD
372006,1,"2016-01-07 00:00:00","2016-01-15 00:00:00",2095742,0,125,2,USD
372007,1,"2016-01-07 00:00:00","Not Available",1982994,61,1148,4,USD
372008,1,"2016-01-07 00:00:00","Not Available",1214363,53,183,1,USD
372008,3,"2016-01-07 00:00:00","Not Available",1214363,53,1665,1,USD
372010,1,"2016-01-07 00:00:00","Not Available",784075,29,90,7,EUR
372011,1,"2016-01-07 00:00:00","Not Available",739625,29,1572,1,EUR
372012,1,"2016-01-07 00:00:00","Not Available",195521,6,468,1,AUD
372012,2,"2016-01-07 00:00:00","Not Available",195521,6,1560,6,AUD
372012,3,"2016-01-07 00:00:00","Not Available",195521,6,1094,2,AUD
372012,4,"2016-01-07 00:00:00","Not Available",195521,6,171,4,AUD
372012,5,"2016-01-07 00:00:00","Not Available",195521,6,2265,2,AUD
372013,1,"2016-01-07 00:00:00","Not Available",1042966,38,1259,2,GBP
372016,1,"2016-01-07 00:00:00","Not Available",1170323,42,1581,2,GBP
372016,2,"2016-01-07 00:00:00","Not Available",1170323,42,6,3,GBP
373000,1,"2016-01-08 00:00:00","2016-01-14 00:00:00",1367439,0,2509,3,USD
373000,2,"2016-01-08 00:00:00","2016-01-14 00:00:00",1367439,0,716,3,USD
373002,1,"2016-01-08 00:00:00","Not Available",1750554,48,1859,5,USD
373003,1,"2016-01-08 00:00:00","Not Available",2082534,56,67,3,USD
373004,1,"2016-01-08 00:00:00","Not Available",460587,24,1765,3,EUR
373005,1,"2016-01-08 00:00:00","Not Available",1763365,65,342,2,USD
373005,2,"2016-01-08 00:00:00","Not Available",1763365,65,1073,1,USD
373007,1,"2016-01-08 00:00:00","2016-01-14 00:00:00",351747,0,103,2,CAD
373007,2,"2016-01-08 00:00:00","2016-01-14 00:00:00",351747,0,1455,5,CAD
373007,3,"2016-01-08 00:00:00","2016-01-14 00:00:00",351747,0,1902,2,CAD
373008,1,"2016-01-08 00:00:00","Not Available",536845,23,535,3,EUR
373008,2,"2016-01-08 00:00:00","Not Available",536845,23,2089,3,EUR
373008,3,"2016-01-08 00:00:00","Not Available",536845,23,1612,3,EUR
373008,4,"2016-01-08 00:00:00","Not Available",536845,23,65,2,EUR
373009,1,"2016-01-08 00:00:00","2016-01-19 00:00:00",1064519,0,1589,4,GBP
373010,1,"2016-01-08 00:00:00","Not Available",538801,27,2492,6,EUR
373010,2,"2016-01-08 00:00:00","Not Available",538801,27,2288,8,EUR
373010,3,"2016-01-08 00:00:00","Not Available",538801,27,56,2,EUR
373011,1,"2016-01-08 00:00:00","Not Available",82415,4,440,2,AUD
374000,1,"2016-01-09 00:00:00","Not Available",1971983,48,737,5,USD
374000,2,"2016-01-09 00:00:00","Not Available",1971983,48,1735,3,USD
374000,3,"2016-01-09 00:00:00","Not Available",1971983,48,103,3,USD
374000,5,"2016-01-09 00:00:00","Not Available",1971983,48,81,2,USD
374000,6,"2016-01-09 00:00:00","Not Available",1971983,48,1624,1,USD
374001,1,"2016-01-09 00:00:00","Not Available",2050933,47,1429,1,USD
374001,2,"2016-01-09 00:00:00","Not Available",2050933,47,545,1,USD
374002,1,"2016-01-09 00:00:00","Not Available",320030,8,1991,8,CAD
374002,2,"2016-01-09 00:00:00","Not Available",320030,8,1667,8,CAD
374002,3,"2016-01-09 00:00:00","Not Available",320030,8,2098,3,CAD
374002,4,"2016-01-09 00:00:00","Not Available",320030,8,1695,1,CAD
374003,1,"2016-01-09 00:00:00","Not Available",1188400,38,1606,1,GBP
374005,1,"2016-01-09 00:00:00","Not Available",239647,8,1197,2,CAD
374006,1,"2016-01-09 00:00:00","Not Available",1387959,65,1622,6,USD
374007,1,"2016-01-09 00:00:00","Not Available",800548,31,1631,3,EUR
374008,1,"2016-01-09 00:00:00","Not Available",789641,29,1217,4,EUR
374009,1,"2016-01-09 00:00:00","Not Available",728541,30,538,3,EUR
374010,1,"2016-01-09 00:00:00","Not Available",665776,12,1632,3,EUR
374010,2,"2016-01-09 00:00:00","Not Available",665776,12,1048,1,EUR
374010,3,"2016-01-09 00:00:00","Not Available",665776,12,1681,7,EUR
374010,4,"2016-01-09 00:00:00","Not Available",665776,12,2104,4,EUR
374010,5,"2016-01-09 00:00:00","Not Available",665776,12,1673,2,EUR
374010,6,"2016-01-09 00:00:00","Not Available",665776,12,1206,2,EUR
374010,7,"2016-01-09 00:00:00","Not Available",665776,12,961,5,EUR
374011,1,"2016-01-09 00:00:00","Not Available",174622,5,1256,8,AUD
374012,1,"2016-01-09 00:00:00","2016-01-20 00:00:00",1758208,0,1280,1,USD
374012,2,"2016-01-09 00:00:00","2016-01-20 00:00:00",1758208,0,1276,1,USD
374012,3,"2016-01-09 00:00:00","2016-01-20 00:00:00",1758208,0,2454,5,USD
374012,4,"2016-01-09 00:00:00","2016-01-20 00:00:00",1758208,0,2108,1,USD
374013,1,"2016-01-09 00:00:00","Not Available",733080,29,533,5,EUR
374013,2,"2016-01-09 00:00:00","Not Available",733080,29,1067,10,EUR
374013,3,"2016-01-09 00:00:00","Not Available",733080,29,1577,6,EUR
374015,1,"2016-01-09 00:00:00","Not Available",1451748,55,107,7,USD
374016,1,"2016-01-09 00:00:00","Not Available",1535357,45,9,5,USD
374017,1,"2016-01-09 00:00:00","Not Available",1558964,63,1630,1,USD
374018,1,"2016-01-09 00:00:00","Not Available",1010049,38,1615,5,GBP
374018,2,"2016-01-09 00:00:00","Not Available",1010049,38,2075,2,GBP
374019,1,"2016-01-09 00:00:00","Not Available",193216,6,1109,3,AUD
375000,1,"2016-01-10 00:00:00","2016-01-18 00:00:00",1084570,0,1636,1,GBP
375000,2,"2016-01-10 00:00:00","2016-01-18 00:00:00",1084570,0,88,7,GBP
375000,3,"2016-01-10 00:00:00","2016-01-18 00:00:00",1084570,0,2515,1,GBP
376000,1,"2016-01-11 00:00:00","Not Available",1862500,43,69,1,USD
376001,1,"2016-01-11 00:00:00","Not Available",813685,32,131,1,EUR
376001,2,"2016-01-11 00:00:00","Not Available",813685,32,1604,1,EUR
376003,1,"2016-01-11 00:00:00","Not Available",797322,30,425,3,EUR
376003,2,"2016-01-11 00:00:00","Not Available",797322,30,2112,4,EUR
376003,3,"2016-01-11 00:00:00","Not Available",797322,30,1297,1,EUR
376003,4,"2016-01-11 00:00:00","Not Available",797322,30,1806,2,EUR
376004,1,"2016-01-11 00:00:00","Not Available",1905050,45,1635,6,USD
376005,1,"2016-01-11 00:00:00","Not Available",305321,8,1352,3,CAD
376005,2,"2016-01-11 00:00:00","Not Available",305321,8,2114,3,CAD
376005,3,"2016-01-11 00:00:00","Not Available",305321,8,418,2,CAD
376005,4,"2016-01-11 00:00:00","Not Available",305321,8,2096,3,CAD
377000,1,"2016-01-12 00:00:00","Not Available",1589958,64,1625,6,USD
377000,2,"2016-01-12 00:00:00","Not Available",1589958,64,1730,4,USD
377000,3,"2016-01-12 00:00:00","Not Available",1589958,64,681,2,USD
377000,4,"2016-01-12 00:00:00","Not Available",1589958,64,1675,7,USD
377000,5,"2016-01-12 00:00:00","Not Available",1589958,64,422,2,USD
377002,1,"2016-01-12 00:00:00","Not Available",1897822,50,1612,1,USD
377002,2,"2016-01-12 00:00:00","Not Available",1897822,50,858,1,USD
377002,3,"2016-01-12 00:00:00","Not Available",1897822,50,1595,2,USD
377003,1,"2016-01-12 00:00:00","Not Available",1129200,40,1942,6,GBP
377004,1,"2016-01-12 00:00:00","Not Available",1136143,42,460,4,GBP
377004,2,"2016-01-12 00:00:00","Not Available",1136143,42,740,3,GBP
377005,1,"2016-01-12 00:00:00","Not Available",1022980,37,1634,1,GBP
377006,1,"2016-01-12 00:00:00","2016-01-20 00:00:00",934781,0,1432,1,GBP
377006,2,"2016-01-12 00:00:00","2016-01-20 00:00:00",934781,0,1580,1,GBP
377006,3,"2016-01-12 00:00:00","2016-01-20 00:00:00",934781,0,1462,1,GBP
377006,4,"2016-01-12 00:00:00","2016-01-20 00:00:00",934781,0,1936,1,GBP
377006,5,"2016-01-12 00:00:00","2016-01-20 00:00:00",934781,0,1007,1,GBP
377006,6,"2016-01-12 00:00:00","2016-01-20 00:00:00",934781,0,320,1,GBP
377007,1,"2016-01-12 00:00:00","Not Available",86126,6,1665,1,AUD
377007,2,"2016-01-12 00:00:00","Not Available",86126,6,446,3,AUD
377007,3,"2016-01-12 00:00:00","Not Available",86126,6,1176,4,AUD
378000,1,"2016-01-13 00:00:00","Not Available",1062632,37,170,1,GBP
378000,2,"2016-01-13 00:00:00","Not Available",1062632,37,1646,10,GBP
378000,3,"2016-01-13 00:00:00","Not Available",1062632,37,1572,1,GBP
378001,1,"2016-01-13 00:00:00","Not Available",1976355,66,2467,3,USD
378001,2,"2016-01-13 00:00:00","Not Available",1976355,66,1696,2,USD
378002,1,"2016-01-13 00:00:00","Not Available",1599716,45,1578,1,USD
378002,2,"2016-01-13 00:00:00","Not Available",1599716,45,1304,1,USD
378003,1,"2016-01-13 00:00:00","Not Available",774742,29,1609,1,EUR
378003,2,"2016-01-13 00:00:00","Not Available",774742,29,2128,8,EUR
378003,3,"2016-01-13 00:00:00","Not Available",774742,29,1649,5,EUR
378004,1,"2016-01-13 00:00:00","Not Available",368190,8,2504,1,CAD
378004,2,"2016-01-13 00:00:00","Not Available",368190,8,1646,7,CAD
378005,1,"2016-01-13 00:00:00","Not Available",1470803,44,137,9,USD
378005,2,"2016-01-13 00:00:00","Not Available",1470803,44,2090,2,USD
378005,3,"2016-01-13 00:00:00","Not Available",1470803,44,2068,2,USD
378005,4,"2016-01-13 00:00:00","Not Available",1470803,44,125,4,USD
378005,5,"2016-01-13 00:00:00","Not Available",1470803,44,137,3,USD
378005,6,"2016-01-13 00:00:00","Not Available",1470803,44,376,1,USD
378005,7,"2016-01-13 00:00:00","Not Available",1470803,44,178,5,USD
378006,1,"2016-01-13 00:00:00","Not Available",917347,38,1266,7,GBP
378006,2,"2016-01-13 00:00:00","Not Available",917347,38,1621,2,GBP
378007,1,"2016-01-13 00:00:00","Not Available",707089,30,1582,1,EUR
378007,2,"2016-01-13 00:00:00","Not Available",707089,30,1634,6,EUR
378007,3,"2016-01-13 00:00:00","Not Available",707089,30,424,4,EUR
378008,1,"2016-01-13 00:00:00","Not Available",1035789,39,1619,2,GBP
378009,1,"2016-01-13 00:00:00","Not Available",270736,8,336,3,CAD
378009,2,"2016-01-13 00:00:00","Not Available",270736,8,2383,1,CAD
378009,3,"2016-01-13 00:00:00","Not Available",270736,8,2248,5,CAD
378010,1,"2016-01-13 00:00:00","Not Available",437389,19,145,3,EUR
378010,2,"2016-01-13 00:00:00","Not Available",437389,19,2387,7,EUR
379000,1,"2016-01-14 00:00:00","Not Available",1171088,39,443,4,GBP
379001,1,"2016-01-14 00:00:00","Not Available",1165542,40,1253,1,GBP
379001,2,"2016-01-14 00:00:00","Not Available",1165542,40,1695,8,GBP
379001,3,"2016-01-14 00:00:00","Not Available",1165542,40,1038,8,GBP
379001,4,"2016-01-14 00:00:00","Not Available",1165542,40,1597,1,GBP
379001,5,"2016-01-14 00:00:00","Not Available",1165542,40,1589,2,GBP
379001,6,"2016-01-14 00:00:00","Not Available",1165542,40,1182,5,GBP
379002,1,"2016-01-14 00:00:00","2016-01-24 00:00:00",716015,0,106,2,EUR
379002,2,"2016-01-14 00:00:00","2016-01-24 00:00:00",716015,0,386,2,EUR
379002,3,"2016-01-14 00:00:00","2016-01-24 00:00:00",716015,0,1654,3,EUR
379004,1,"2016-01-14 00:00:00","2016-01-27 00:00:00",245912,0,321,2,CAD
379005,1,"2016-01-14 00:00:00","Not Available",1104029,37,1766,4,GBP
